rho_sim,scaled_rho_sim,theta_sim,genome_size_sim,depth_sim,seed_sim,mean,std,min,5%,25%,50%,75%,95%,max
0.01,5.0,0.01,10000.0,0.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,12.5,0.01,10000.0,0.5,123.0,56.000000000000014,7.290014651212246e-15,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001
0.05,25.0,0.01,10000.0,0.5,123.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.075,37.5,0.01,10000.0,0.5,123.0,12.75,6.912041361962014,0.0,0.0,10.0,11.0,16.25,21.500000000000007,31.0
0.1,50.0,0.01,10000.0,0.5,123.0,11.05,16.38829813584906,0.0,0.0,5.250000000000001,7.000000000000001,7.250000000000001,51.60000000000001,63.0
0.01,5.0,0.01,25000.0,0.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,12.5,0.01,25000.0,0.5,123.0,1.75,1.860248992954834,0.0,0.0,0.0,1.0,2.25,5.0,5.0
0.05,25.0,0.01,25000.0,0.5,123.0,4.25,1.3717065820970682,0.0,1.9000000000000001,4.0,4.5,5.0,6.0,6.0
0.075,37.5,0.01,25000.0,0.5,123.0,71.05,32.16810286767411,9.0,10.9,53.0,81.5,100.0,100.0,100.0
0.1,50.0,0.01,25000.0,0.5,123.0,3.6,11.080566202519664,0.0,0.0,0.0,0.0,0.0,36.0,36.0
0.01,5.0,0.01,50000.0,0.5,123.0,0.35,0.48936048492959294,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.025,12.5,0.01,50000.0,0.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,25.0,0.01,50000.0,0.5,123.0,11.2,9.07048423241705,1.0,1.0,3.75,11.0,16.0,24.65000000000001,37.0
0.075,37.5,0.01,50000.0,0.5,123.0,52.95,44.44449524850897,1.0,1.0,3.75,47.5,100.0,100.0,100.0
0.1,50.0,0.01,50000.0,0.5,123.0,6.2,22.21805808938212,0.0,0.0,0.0,0.0,1.75,13.550000000000065,100.0
0.01,5.0,0.01,75000.0,0.5,123.0,0.2,0.41039134083406165,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.025,12.5,0.01,75000.0,0.5,123.0,2.55,1.4680814547887788,0.0,0.9500000000000001,2.0,2.5,3.0,4.150000000000002,7.000000000000001
0.05,25.0,0.01,75000.0,0.5,123.0,5.15,5.081183036718082,0.0,0.9500000000000001,1.75,3.0,6.0,18.0,18.0
0.075,37.5,0.01,75000.0,0.5,123.0,13.2,5.084548316118883,1.0,5.75,12.0,13.5,15.0,21.1,23.0
0.1,50.0,0.01,75000.0,0.5,123.0,2.05,2.187885304412267,0.0,0.0,0.0,1.0,3.0,7.000000000000001,7.000000000000001
0.01,5.0,0.01,100000.0,0.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,12.5,0.01,100000.0,0.5,123.0,3.75,3.850837229541266,0.0,0.0,0.0,3.0,7.000000000000001,11.100000000000001,13.0
0.05,25.0,0.01,100000.0,0.5,123.0,1.2,1.1964860832322377,0.0,0.0,0.0,1.0,2.0,3.0500000000000007,4.0
0.075,37.5,0.01,100000.0,0.5,123.0,4.4,8.946625356141716,0.0,0.0,0.0,0.5,2.25,25.0,25.0
0.1,50.0,0.01,100000.0,0.5,123.0,16.5,9.550420216712428,4.0,6.850000000000001,12.5,13.0,19.75,36.0,36.0
0.01,5.0,0.01,10000.0,1.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,12.5,0.01,10000.0,1.0,123.0,0.5,0.512989176042577,0.0,0.0,0.0,0.5,1.0,1.0,1.0
0.05,25.0,0.01,10000.0,1.0,123.0,5.55,2.114486375359025,3.0,3.0,3.75,5.5,8.0,8.0,8.0
0.075,37.5,0.01,10000.0,1.0,123.0,9.65,2.539685019840059,6.0,6.950000000000001,7.75,10.0,11.0,14.100000000000003,16.0
0.1,50.0,0.01,10000.0,1.0,123.0,1.3,0.5712405705774793,1.0,1.0,1.0,1.0,1.25,2.0500000000000007,3.0
0.01,5.0,0.01,25000.0,1.0,123.0,0.75,0.4442616583193193,0.0,0.0,0.75,1.0,1.0,1.0,1.0
0.025,12.5,0.01,25000.0,1.0,123.0,2.8,1.105012502906165,1.0,1.0,2.0,3.0,4.0,4.0,4.0
0.05,25.0,0.01,25000.0,1.0,123.0,4.7,1.2182817926554552,2.0,2.95,4.0,5.0,6.0,6.0,6.0
0.075,37.5,0.01,25000.0,1.0,123.0,7.1,0.9679060415469867,6.0,6.0,7.000000000000001,7.000000000000001,7.000000000000001,9.05,10.0
0.1,50.0,0.01,25000.0,1.0,123.0,6.85,1.0894228312566054,5.0,5.0,6.0,7.000000000000001,8.0,8.05,9.0
0.01,5.0,0.01,50000.0,1.0,123.0,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.025,12.5,0.01,50000.0,1.0,123.0,1.15,0.36634754853252327,1.0,1.0,1.0,1.0,1.0,2.0,2.0
0.05,25.0,0.01,50000.0,1.0,123.0,7.3,1.0809352675491621,6.0,6.0,6.0,7.000000000000001,8.0,9.0,9.0
0.075,37.5,0.01,50000.0,1.0,123.0,6.6,1.2732056517228265,4.0,4.95,6.0,6.5,8.0,8.0,8.0
0.1,50.0,0.01,50000.0,1.0,123.0,4.75,0.6386663736585051,4.0,4.0,4.0,5.0,5.0,6.0,6.0
0.01,5.0,0.01,75000.0,1.0,123.0,0.05,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.05000000000000071,1.0
0.025,12.5,0.01,75000.0,1.0,123.0,2.4,0.5026246899500347,2.0,2.0,2.0,2.0,3.0,3.0,3.0
0.05,25.0,0.01,75000.0,1.0,123.0,4.15,0.4893604849295929,3.0,3.95,4.0,4.0,4.0,5.0,5.0
0.075,37.5,0.01,75000.0,1.0,123.0,6.75,0.8506963092234008,6.0,6.0,6.0,7.000000000000001,7.000000000000001,8.05,9.0
0.1,50.0,0.01,75000.0,1.0,123.0,6.6,0.753937034925052,5.0,5.95,6.0,7.000000000000001,7.000000000000001,8.0,8.0
0.01,5.0,0.01,100000.0,1.0,123.0,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.025,12.5,0.01,100000.0,1.0,123.0,2.0,0.3244428422615251,1.0,1.9500000000000002,2.0,2.0,2.0,2.0500000000000007,3.0
0.05,25.0,0.01,100000.0,1.0,123.0,4.65,0.7451598203705949,4.0,4.0,4.0,5.0,5.0,5.100000000000001,7.000000000000001
0.075,37.5,0.01,100000.0,1.0,123.0,5.7,0.6569466853317865,5.0,5.0,5.0,6.0,6.0,7.000000000000001,7.000000000000001
0.1,50.0,0.01,100000.0,1.0,123.0,5.7,0.8013147091860318,4.0,4.95,5.0,6.0,6.0,6.100000000000001,8.0
0.01,5.0,0.01,10000.0,2.5,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,10000.0,2.5,123.0,2.6,0.5026246899500346,2.0,2.0,2.0,3.0,3.0,3.0,3.0
0.05,25.0,0.01,10000.0,2.5,123.0,5.25,0.6386663736585051,4.0,4.0,5.0,5.0,6.0,6.0,6.0
0.075,37.5,0.01,10000.0,2.5,123.0,6.35,0.5871429486124001,5.0,5.95,6.0,6.0,7.000000000000001,7.000000000000001,7.000000000000001
0.1,50.0,0.01,10000.0,2.5,123.0,7.25,0.910465468000326,5.0,5.95,7.000000000000001,7.000000000000001,8.0,8.05,9.0
0.01,5.0,0.01,25000.0,2.5,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,25000.0,2.5,123.0,2.95,0.22360679774997896,2.0,2.95,3.0,3.0,3.0,3.0,3.0
0.05,25.0,0.01,25000.0,2.5,123.0,4.95,0.39403446282620613,4.0,4.0,5.0,5.0,5.0,5.050000000000001,6.0
0.075,37.5,0.01,25000.0,2.5,123.0,6.9,0.5525062514530825,6.0,6.0,7.000000000000001,7.000000000000001,7.000000000000001,8.0,8.0
0.1,50.0,0.01,25000.0,2.5,123.0,7.65,0.7451598203705947,6.0,6.0,7.000000000000001,8.0,8.0,8.05,9.0
0.01,5.0,0.01,50000.0,2.5,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,50000.0,2.5,123.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0.05,25.0,0.01,50000.0,2.5,123.0,5.6,0.5026246899500345,5.0,5.0,5.0,6.0,6.0,6.0,6.0
0.075,37.5,0.01,50000.0,2.5,123.0,6.05,0.22360679774997913,6.0,6.0,6.0,6.0,6.0,6.050000000000001,7.000000000000001
0.1,50.0,0.01,50000.0,2.5,123.0,8.2,0.6155870112510925,7.000000000000001,7.000000000000001,8.0,8.0,9.0,9.0,9.0
0.01,5.0,0.01,75000.0,2.5,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,75000.0,2.5,123.0,3.2,0.4103913408340616,3.0,3.0,3.0,3.0,3.0,4.0,4.0
0.05,25.0,0.01,75000.0,2.5,123.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0.075,37.5,0.01,75000.0,2.5,123.0,6.65,0.48936048492959333,6.0,6.0,6.0,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001
0.1,50.0,0.01,75000.0,2.5,123.0,7.4,0.5026246899500342,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,8.0,8.0,8.0
0.01,5.0,0.01,100000.0,2.5,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,100000.0,2.5,123.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
0.05,25.0,0.01,100000.0,2.5,123.0,5.95,0.22360679774997888,5.0,5.95,6.0,6.0,6.0,6.0,6.0
0.075,37.5,0.01,100000.0,2.5,123.0,6.1,0.3077935056255465,6.0,6.0,6.0,6.0,6.0,7.000000000000001,7.000000000000001
0.1,50.0,0.01,100000.0,2.5,123.0,6.900000000000001,0.3077935056255465,6.0,6.0,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001
0.01,5.0,0.01,10000.0,5.0,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,10000.0,5.0,123.0,3.8,0.4103913408340616,3.0,3.0,4.0,4.0,4.0,4.0,4.0
0.05,25.0,0.01,10000.0,5.0,123.0,6.7,0.6569466853317866,6.0,6.0,6.0,7.000000000000001,7.000000000000001,8.0,8.0
0.075,37.5,0.01,10000.0,5.0,123.0,5.6,0.5026246899500345,5.0,5.0,5.0,6.0,6.0,6.0,6.0
0.1,50.0,0.01,10000.0,5.0,123.0,7.4,0.7539370349250517,6.0,6.0,7.000000000000001,7.000000000000001,8.0,8.05,9.0
0.01,5.0,0.01,25000.0,5.0,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,25000.0,5.0,123.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
0.05,25.0,0.01,25000.0,5.0,123.0,4.35,0.48936048492959283,4.0,4.0,4.0,4.0,5.0,5.0,5.0
0.075,37.5,0.01,25000.0,5.0,123.0,6.35,0.4893604849295933,6.0,6.0,6.0,6.0,7.000000000000001,7.000000000000001,7.000000000000001
0.1,50.0,0.01,25000.0,5.0,123.0,6.05,0.22360679774997916,6.0,6.0,6.0,6.0,6.0,6.050000000000001,7.000000000000001
0.01,5.0,0.01,50000.0,5.0,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,50000.0,5.0,123.0,3.1,0.3077935056255462,3.0,3.0,3.0,3.0,3.0,4.0,4.0
0.05,25.0,0.01,50000.0,5.0,123.0,5.35,0.48936048492959283,5.0,5.0,5.0,5.0,6.0,6.0,6.0
0.075,37.5,0.01,50000.0,5.0,123.0,5.95,0.22360679774997894,5.0,5.95,6.0,6.0,6.0,6.0,6.0
0.1,50.0,0.01,50000.0,5.0,123.0,6.65,0.4893604849295934,6.0,6.0,6.0,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001
0.01,5.0,0.01,75000.0,5.0,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,75000.0,5.0,123.0,3.2,0.4103913408340616,3.0,3.0,3.0,3.0,3.0,4.0,4.0
0.05,25.0,0.01,75000.0,5.0,123.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0.075,37.5,0.01,75000.0,5.0,123.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
0.1,50.0,0.01,75000.0,5.0,123.0,7.000000000000002,9.112518314015307e-16,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001
0.01,5.0,0.01,100000.0,5.0,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,100000.0,5.0,123.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
0.05,25.0,0.01,100000.0,5.0,123.0,5.65,0.48936048492959283,5.0,5.0,5.0,6.0,6.0,6.0,6.0
0.075,37.5,0.01,100000.0,5.0,123.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
0.1,50.0,0.01,100000.0,5.0,123.0,7.000000000000002,9.112518314015307e-16,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001
0.01,5.0,0.01,10000.0,10.0,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,10000.0,10.0,123.0,3.85,0.36634754853252327,3.0,3.0,4.0,4.0,4.0,4.0,4.0
0.05,25.0,0.01,10000.0,10.0,123.0,5.05,0.22360679774997894,5.0,5.0,5.0,5.0,5.0,5.050000000000001,6.0
0.075,37.5,0.01,10000.0,10.0,123.0,5.35,0.48936048492959283,5.0,5.0,5.0,5.0,6.0,6.0,6.0
0.1,50.0,0.01,10000.0,10.0,123.0,5.2,0.4103913408340616,5.0,5.0,5.0,5.0,5.0,6.0,6.0
0.01,5.0,0.01,25000.0,10.0,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,25000.0,10.0,123.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
0.05,25.0,0.01,25000.0,10.0,123.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0.075,37.5,0.01,25000.0,10.0,123.0,5.05,0.2236067977499789,5.0,5.0,5.0,5.0,5.0,5.050000000000001,6.0
0.1,50.0,0.01,25000.0,10.0,123.0,5.65,0.48936048492959283,5.0,5.0,5.0,6.0,6.0,6.0,6.0
0.01,5.0,0.01,50000.0,10.0,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,50000.0,10.0,123.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
0.05,25.0,0.01,50000.0,10.0,123.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0.075,37.5,0.01,50000.0,10.0,123.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
